presidency_number,person_id,name,party,age_years,days_at_this_age
25,mckinley,William McKinley,Republican,54,331
25,mckinley,William McKinley,Republican,55,365
25,mckinley,William McKinley,Republican,56,365
25,mckinley,William McKinley,Republican,57,365
25,mckinley,William McKinley,Republican,58,228
26,troosevelt,Theodore Roosevelt,Republican,42,43
26,troosevelt,Theodore Roosevelt,Republican,43,365
26,troosevelt,Theodore Roosevelt,Republican,44,365
26,troosevelt,Theodore Roosevelt,Republican,45,366
26,troosevelt,Theodore Roosevelt,Republican,46,365
26,troosevelt,Theodore Roosevelt,Republican,47,365
26,troosevelt,Theodore Roosevelt,Republican,48,365
26,troosevelt,Theodore Roosevelt,Republican,49,366
26,troosevelt,Theodore Roosevelt,Republican,50,128
27,taft,William Howard Taft,Republican,51,195
27,taft,William Howard Taft,Republican,52,365
27,taft,William Howard Taft,Republican,53,365
27,taft,William Howard Taft,Republican,54,366
27,taft,William Howard Taft,Republican,55,170
28,wilson,Woodrow Wilson,Democratic,56,299
28,wilson,Woodrow Wilson,Democratic,57,365
28,wilson,Woodrow Wilson,Democratic,58,365
28,wilson,Woodrow Wilson,Democratic,59,366
28,wilson,Woodrow Wilson,Democratic,60,365
28,wilson,Woodrow Wilson,Democratic,61,365
28,wilson,Woodrow Wilson,Democratic,62,365
28,wilson,Woodrow Wilson,Democratic,63,366
28,wilson,Woodrow Wilson,Democratic,64,66
29,harding,Warren G. Harding,Republican,55,243
29,harding,Warren G. Harding,Republican,56,365
29,harding,Warren G. Harding,Republican,57,273
30,coolidge,Calvin Coolidge,Republican,51,337
30,coolidge,Calvin Coolidge,Republican,52,365
30,coolidge,Calvin Coolidge,Republican,53,365
30,coolidge,Calvin Coolidge,Republican,54,365
30,coolidge,Calvin Coolidge,Republican,55,366
30,coolidge,Calvin Coolidge,Republican,56,243
31,hoover,Herbert Hoover,Republican,54,159
31,hoover,Herbert Hoover,Republican,55,365
31,hoover,Herbert Hoover,Republican,56,365
31,hoover,Herbert Hoover,Republican,57,366
31,hoover,Herbert Hoover,Republican,58,206
32,fdr,Franklin D. Roosevelt,Democratic,51,332
32,fdr,Franklin D. Roosevelt,Democratic,52,365
32,fdr,Franklin D. Roosevelt,Democratic,53,365
32,fdr,Franklin D. Roosevelt,Democratic,54,366
32,fdr,Franklin D. Roosevelt,Democratic,55,365
32,fdr,Franklin D. Roosevelt,Democratic,56,365
32,fdr,Franklin D. Roosevelt,Democratic,57,365
32,fdr,Franklin D. Roosevelt,Democratic,58,366
32,fdr,Franklin D. Roosevelt,Democratic,59,365
32,fdr,Franklin D. Roosevelt,Democratic,60,365
32,fdr,Franklin D. Roosevelt,Democratic,61,365
32,fdr,Franklin D. Roosevelt,Democratic,62,366
32,fdr,Franklin D. Roosevelt,Democratic,63,72
33,truman,Harry S. Truman,Democratic,60,26
33,truman,Harry S. Truman,Democratic,61,365
33,truman,Harry S. Truman,Democratic,62,365
33,truman,Harry S. Truman,Democratic,63,366
33,truman,Harry S. Truman,Democratic,64,365
33,truman,Harry S. Truman,Democratic,65,365
33,truman,Harry S. Truman,Democratic,66,365
33,truman,Harry S. Truman,Democratic,67,366
33,truman,Harry S. Truman,Democratic,68,257
34,eisenhower,Dwight D. Eisenhower,Republican,62,267
34,eisenhower,Dwight D. Eisenhower,Republican,63,365
34,eisenhower,Dwight D. Eisenhower,Republican,64,365
34,eisenhower,Dwight D. Eisenhower,Republican,65,366
34,eisenhower,Dwight D. Eisenhower,Republican,66,365
34,eisenhower,Dwight D. Eisenhower,Republican,67,365
34,eisenhower,Dwight D. Eisenhower,Republican,68,365
34,eisenhower,Dwight D. Eisenhower,Republican,69,366
34,eisenhower,Dwight D. Eisenhower,Republican,70,98
35,kennedy,John F. Kennedy,Democratic,43,129
35,kennedy,John F. Kennedy,Democratic,44,365
35,kennedy,John F. Kennedy,Democratic,45,365
35,kennedy,John F. Kennedy,Democratic,46,177
36,lbj,Lyndon B. Johnson,Democratic,55,279
36,lbj,Lyndon B. Johnson,Democratic,56,365
36,lbj,Lyndon B. Johnson,Democratic,57,365
36,lbj,Lyndon B. Johnson,Democratic,58,365
36,lbj,Lyndon B. Johnson,Democratic,59,366
36,lbj,Lyndon B. Johnson,Democratic,60,146
37,nixon,Richard Nixon,Republican,56,354
